"DiseaseMapID","ICD10","Condition"
2129,"C164","Cancer"
2130,"C165","Cancer"
2131,"C166","Cancer"
2132,"C168","Cancer"
2133,"C169","Cancer"
2134,"C17","Cancer"
2135,"C170","Cancer"
2136,"C171","Cancer"
2137,"C172","Cancer"
2138,"C173","Cancer"
2139,"C178","Cancer"
2140,"C179","Cancer"
2141,"C18","Cancer"
2142,"C180","Cancer"
2143,"C181","Cancer"
2144,"C182","Cancer"
2145,"C183","Cancer"
2146,"C184","Cancer"
2147,"C185","Cancer"
2148,"C186","Cancer"
2149,"C187","Cancer"
2150,"C188","Cancer"
2151,"C189","Cancer"
2152,"C19","Cancer"
2153,"C20","Cancer"
2154,"C21","Cancer"
2155,"C210","Cancer"
2156,"C211","Cancer"
2157,"C212","Cancer"
2158,"C218","Cancer"
2159,"C22","Cancer"
2160,"C220","Cancer"
2161,"C221","Cancer"
2162,"C222","Cancer"
2163,"C223","Cancer"
2164,"C224","Cancer"
2165,"C227","Cancer"
2166,"C228","Cancer"
2167,"C229","Cancer"
2168,"C23","Cancer"
2169,"C24","Cancer"
2170,"C240","Cancer"
2171,"C241","Cancer"
2172,"C248","Cancer"
2173,"C249","Cancer"
2174,"C25","Cancer"
2175,"C250","Cancer"
2176,"C251","Cancer"
2177,"C252","Cancer"
2178,"C253","Cancer"
2179,"C254","Cancer"
2180,"C257","Cancer"
2181,"C258","Cancer"
2182,"C259","Cancer"
2183,"C26","Cancer"
2184,"C260","Cancer"
2185,"C261","Cancer"
2186,"C269","Cancer"
2187,"C30","Cancer"
2188,"C300","Cancer"
2189,"C301","Cancer"
2190,"C31","Cancer"
2191,"C310","Cancer"
2192,"C311","Cancer"
2193,"C312","Cancer"
2194,"C313","Cancer"
2195,"C318","Cancer"
2196,"C319","Cancer"
2197,"C32","Cancer"
2198,"C320","Cancer"
2199,"C321","Cancer"
2200,"C322","Cancer"
2201,"C323","Cancer"
2202,"C328","Cancer"
2203,"C329","Cancer"
2204,"C33","Cancer"
2205,"C34","Cancer"
2206,"C340","Cancer"
2207,"C3400","Cancer"
2208,"C3401","Cancer"
2209,"C3402","Cancer"
2210,"C341","Cancer"
2211,"C3410","Cancer"
2212,"C3411","Cancer"
2213,"C3412","Cancer"
2214,"C342","Cancer"
2215,"C343","Cancer"
2216,"C3430","Cancer"
2217,"C3431","Cancer"
2218,"C3432","Cancer"
2219,"C348","Cancer"
2220,"C3480","Cancer"
2221,"C3481","Cancer"
2222,"C3482","Cancer"
2223,"C349","Cancer"
2224,"C3490","Cancer"
2225,"C3491","Cancer"
2226,"C3492","Cancer"
2227,"C37","Cancer"
2228,"C38","Cancer"
2229,"C380","Cancer"
2230,"C381","Cancer"
2231,"C382","Cancer"
2232,"C383","Cancer"
2233,"C384","Cancer"
2234,"C388","Cancer"
2235,"C39","Cancer"
2236,"C390","Cancer"
2237,"C399","Cancer"
2238,"C40","Cancer"
2239,"C400","Cancer"
2240,"C4000","Cancer"
2241,"C4001","Cancer"
2242,"C4002","Cancer"
2243,"C401","Cancer"
2244,"C4010","Cancer"
2245,"C4011","Cancer"
2246,"C4012","Cancer"
2247,"C402","Cancer"
2248,"C4020","Cancer"
2249,"C4021","Cancer"
2250,"C4022","Cancer"
2251,"C403","Cancer"
2252,"C4030","Cancer"
2253,"C4031","Cancer"
2254,"C4032","Cancer"
2255,"C408","Cancer"
2256,"C4080","Cancer"
2257,"C4081","Cancer"
2258,"C4082","Cancer"
2259,"C409","Cancer"
2260,"C4090","Cancer"
2261,"C4091","Cancer"
2262,"C4092","Cancer"
2263,"C41","Cancer"
2264,"C410","Cancer"
2265,"C411","Cancer"
2266,"C412","Cancer"
2267,"C413","Cancer"
2268,"C414","Cancer"
2269,"C419","Cancer"
2270,"C43","Cancer"
2271,"C430","Cancer"
2272,"C431","Cancer"
2273,"C4310","Cancer"
2274,"C4311","Cancer"
2275,"C43111","Cancer"
2276,"C43112","Cancer"
2277,"C4312","Cancer"
2278,"C43121","Cancer"
2279,"C43122","Cancer"
2280,"C432","Cancer"
2281,"C4320","Cancer"
2282,"C4321","Cancer"
2283,"C4322","Cancer"
2284,"C433","Cancer"
2285,"C4330","Cancer"
2286,"C4331","Cancer"
2287,"C4339","Cancer"
2288,"C434","Cancer"
2289,"C435","Cancer"
2290,"C4351","Cancer"
2291,"C4352","Cancer"
2292,"C4359","Cancer"
2293,"C436","Cancer"
2294,"C4360","Cancer"
2295,"C4361","Cancer"
2296,"C4362","Cancer"
2297,"C437","Cancer"
2298,"C4370","Cancer"
2299,"C4371","Cancer"
2300,"C4372","Cancer"
2301,"C438","Cancer"
2302,"C439","Cancer"
2303,"C45","Cancer"
2304,"C450","Cancer"
2305,"C451","Cancer"
2306,"C452","Cancer"
2307,"C457","Cancer"
2308,"C459","Cancer"
2309,"C46","Cancer"
2310,"C460","Cancer"
2311,"C461","Cancer"
2312,"C462","Cancer"
2313,"C463","Cancer"
2314,"C464","Cancer"
2315,"C465","Cancer"
2316,"C4650","Cancer"
2317,"C4651","Cancer"
2318,"C4652","Cancer"
2319,"C467","Cancer"
2320,"C469","Cancer"
2321,"C47","Cancer"
2322,"C470","Cancer"
2323,"C471","Cancer"
2324,"C4710","Cancer"
2325,"C4711","Cancer"
2326,"C4712","Cancer"
2327,"C472","Cancer"
2328,"C4720","Cancer"
2329,"C4721","Cancer"
2330,"C4722","Cancer"
2331,"C473","Cancer"
2332,"C474","Cancer"
2333,"C475","Cancer"
2334,"C476","Cancer"
2335,"C478","Cancer"
2336,"C479","Cancer"
2337,"C48","Cancer"
2338,"C480","Cancer"
2339,"C481","Cancer"
2340,"C482","Cancer"
2341,"C488","Cancer"
2342,"C49","Cancer"
2343,"C490","Cancer"
2344,"C491","Cancer"
2345,"C4910","Cancer"
2346,"C4911","Cancer"
2347,"C4912","Cancer"
2348,"C492","Cancer"
2349,"C4920","Cancer"
2350,"C4921","Cancer"
2351,"C4922","Cancer"
2352,"C493","Cancer"
2353,"C494","Cancer"
2354,"C495","Cancer"
2355,"C496","Cancer"
2356,"C498","Cancer"
2357,"C499","Cancer"
2358,"C49A","Cancer"
2359,"C49A0","Cancer"
2360,"C49A1","Cancer"
2361,"C49A2","Cancer"
2362,"C49A3","Cancer"
2363,"C49A4","Cancer"
2364,"C49A5","Cancer"
2365,"C49A9","Cancer"
2366,"C50","Cancer"
2367,"C500","Cancer"
2368,"C5001","Cancer"
2369,"C50011","Cancer"
2370,"C50012","Cancer"
2371,"C50019","Cancer"
2372,"C5002","Cancer"
2373,"C50021","Cancer"
2374,"C50022","Cancer"
2375,"C50029","Cancer"
2376,"C501","Cancer"
2377,"C5011","Cancer"
2378,"C50111","Cancer"
2379,"C50112","Cancer"
2380,"C50119","Cancer"
2381,"C5012","Cancer"
2382,"C50121","Cancer"
2383,"C50122","Cancer"
2384,"C50129","Cancer"
2385,"C502","Cancer"
2386,"C5021","Cancer"
2387,"C50211","Cancer"
2388,"C50212","Cancer"
2389,"C50219","Cancer"
2390,"C5022","Cancer"
2391,"C50221","Cancer"
2392,"C50222","Cancer"
2393,"C50229","Cancer"
2394,"C503","Cancer"
2395,"C5031","Cancer"
2396,"C50311","Cancer"
2397,"C50312","Cancer"
2398,"C50319","Cancer"
2399,"C5032","Cancer"
2400,"C50321","Cancer"
2401,"C50322","Cancer"
2402,"C50329","Cancer"
2403,"C504","Cancer"
2404,"C5041","Cancer"
2405,"C50411","Cancer"
2406,"C50412","Cancer"
2407,"C50419","Cancer"
2408,"C5042","Cancer"
2409,"C50421","Cancer"
2410,"C50422","Cancer"
2411,"C50429","Cancer"
2412,"C505","Cancer"
2413,"C5051","Cancer"
2414,"C50511","Cancer"
2415,"C50512","Cancer"
2416,"C50519","Cancer"
2417,"C5052","Cancer"
2418,"C50521","Cancer"
2419,"C50522","Cancer"
2420,"C50529","Cancer"
2421,"C506","Cancer"
2422,"C5061","Cancer"
2423,"C50611","Cancer"
2424,"C50612","Cancer"
2425,"C50619","Cancer"
2426,"C5062","Cancer"
2427,"C50621","Cancer"
2428,"C50622","Cancer"
2429,"C50629","Cancer"
2430,"C508","Cancer"
2431,"C5081","Cancer"
2432,"C50811","Cancer"
2433,"C50812","Cancer"
2434,"C50819","Cancer"
2435,"C5082","Cancer"
2436,"C50821","Cancer"
2437,"C50822","Cancer"
2438,"C50829","Cancer"
2439,"C509","Cancer"
2440,"C5091","Cancer"
2441,"C50911","Cancer"
2442,"C50912","Cancer"
2443,"C50919","Cancer"
2444,"C5092","Cancer"
2445,"C50921","Cancer"
2446,"C50922","Cancer"
2447,"C50929","Cancer"
2448,"C51","Cancer"
2449,"C510","Cancer"
2450,"C511","Cancer"
2451,"C512","Cancer"
2452,"C518","Cancer"
2453,"C519","Cancer"
2454,"C52","Cancer"
2455,"C53","Cancer"
2456,"C530","Cancer"
2457,"C531","Cancer"
2458,"C538","Cancer"
2459,"C539","Cancer"
2460,"C54","Cancer"
2461,"C540","Cancer"
2462,"C541","Cancer"
2463,"C542","Cancer"
2464,"C543","Cancer"
2465,"C548","Cancer"
2466,"C549","Cancer"
2467,"C55","Cancer"
2468,"C56","Cancer"
2469,"C561","Cancer"
2470,"C562","Cancer"
2471,"C569","Cancer"
2472,"C57","Cancer"
2473,"C570","Cancer"
2474,"C5700","Cancer"
2475,"C5701","Cancer"
2476,"C5702","Cancer"
2477,"C571","Cancer"
2478,"C5710","Cancer"
2479,"C5711","Cancer"
2480,"C5712","Cancer"
2481,"C572","Cancer"
2482,"C5720","Cancer"
2483,"C5721","Cancer"
2484,"C5722","Cancer"
2485,"C573","Cancer"
2486,"C574","Cancer"
2487,"C577","Cancer"
2488,"C578","Cancer"
2489,"C579","Cancer"
2490,"C58","Cancer"
2491,"C60","Cancer"
2492,"C600","Cancer"
2493,"C601","Cancer"
2494,"C602","Cancer"
2495,"C608","Cancer"
2496,"C609","Cancer"
2497,"C61","Cancer"
2498,"C62","Cancer"
2499,"C620","Cancer"
2500,"C6200","Cancer"
2501,"C6201","Cancer"
2502,"C6202","Cancer"
2503,"C621","Cancer"
2504,"C6210","Cancer"
2505,"C6211","Cancer"
2506,"C6212","Cancer"
2507,"C629","Cancer"
2508,"C6290","Cancer"
2509,"C6291","Cancer"
2510,"C6292","Cancer"
2511,"C63","Cancer"
2512,"C630","Cancer"
2513,"C6300","Cancer"
2514,"C6301","Cancer"
2515,"C6302","Cancer"
2516,"C631","Cancer"
2517,"C6310","Cancer"
2518,"C6311","Cancer"
2519,"C6312","Cancer"
2520,"C632","Cancer"
2521,"C637","Cancer"
2522,"C638","Cancer"
2523,"C639","Cancer"
2524,"C64","Cancer"
2525,"C641","Cancer"
2526,"C642","Cancer"
2527,"C649","Cancer"
2528,"C65","Cancer"
2529,"C651","Cancer"
2530,"C652","Cancer"
2531,"C659","Cancer"
2532,"C66","Cancer"
2533,"C661","Cancer"
2534,"C662","Cancer"
2535,"C669","Cancer"
2536,"C67","Cancer"
2537,"C670","Cancer"
2538,"C671","Cancer"
2539,"C672","Cancer"
2540,"C673","Cancer"
2541,"C674","Cancer"
2542,"C675","Cancer"
2543,"C676","Cancer"
2544,"C677","Cancer"
2545,"C678","Cancer"
2546,"C679","Cancer"
2547,"C68","Cancer"
2548,"C680","Cancer"
2549,"C681","Cancer"
2550,"C688","Cancer"
2551,"C689","Cancer"
2552,"C69","Cancer"
2553,"C690","Cancer"
2554,"C6900","Cancer"
2555,"C6901","Cancer"
2556,"C6902","Cancer"
2557,"C691","Cancer"
2558,"C6910","Cancer"
2559,"C6911","Cancer"
2560,"C6912","Cancer"
2561,"C692","Cancer"
2562,"C6920","Cancer"
2563,"C6921","Cancer"
2564,"C6922","Cancer"
2565,"C693","Cancer"
2566,"C6930","Cancer"
2567,"C6931","Cancer"
2568,"C6932","Cancer"
2569,"C694","Cancer"
2570,"C6940","Cancer"
2571,"C6941","Cancer"
2572,"C6942","Cancer"
2573,"C695","Cancer"
2574,"C6950","Cancer"
2575,"C6951","Cancer"
2576,"C6952","Cancer"
2577,"C696","Cancer"
2578,"C6960","Cancer"
2579,"C6961","Cancer"
2580,"C6962","Cancer"
2581,"C698","Cancer"
2582,"C6980","Cancer"
2583,"C6981","Cancer"
2584,"C6982","Cancer"
2585,"C699","Cancer"
2586,"C6990","Cancer"
2587,"C6991","Cancer"
2588,"C6992","Cancer"
2589,"C70","Cancer"
2590,"C700","Cancer"
2591,"C701","Cancer"
2592,"C709","Cancer"
2593,"C71","Cancer"
2594,"C710","Cancer"
2595,"C711","Cancer"
2596,"C712","Cancer"
2597,"C713","Cancer"
2598,"C714","Cancer"
2599,"C715","Cancer"
2600,"C716","Cancer"
2601,"C717","Cancer"
2602,"C718","Cancer"
2603,"C719","Cancer"
2604,"C72","Cancer"
2605,"C720","Cancer"
2606,"C721","Cancer"
2607,"C722","Cancer"
2608,"C7220","Cancer"
2609,"C7221","Cancer"
2610,"C7222","Cancer"
2611,"C723","Cancer"
2612,"C7230","Cancer"
2613,"C7231","Cancer"
2614,"C7232","Cancer"
2615,"C724","Cancer"
2616,"C7240","Cancer"
2617,"C7241","Cancer"
2618,"C7242","Cancer"
2619,"C725","Cancer"
2620,"C7250","Cancer"
2621,"C7259","Cancer"
2622,"C729","Cancer"
2623,"C73","Cancer"
2624,"C74","Cancer"
2625,"C740","Cancer"
2626,"C7400","Cancer"
2627,"C7401","Cancer"
2628,"C7402","Cancer"
2629,"C741","Cancer"
2630,"C7410","Cancer"
2631,"C7411","Cancer"
2632,"C7412","Cancer"
2633,"C749","Cancer"
2634,"C7490","Cancer"
2635,"C7491","Cancer"
2636,"C7492","Cancer"
2637,"C75","Cancer"
2638,"C750","Cancer"
2639,"C751","Cancer"
2640,"C752","Cancer"
2641,"C753","Cancer"
2642,"C754","Cancer"
2643,"C755","Cancer"
2644,"C758","Cancer"
2645,"C759","Cancer"
2646,"C76","Cancer"
2647,"C760","Cancer"
2648,"C761","Cancer"
2649,"C762","Cancer"
2650,"C763","Cancer"
2651,"C764","Cancer"
2652,"C7640","Cancer"
2653,"C7641","Cancer"
2654,"C7642","Cancer"
2655,"C765","Cancer"
2656,"C7650","Cancer"
2657,"C7651","Cancer"
2658,"C7652","Cancer"
2659,"C768","Cancer"
2660,"C7A","Cancer"
2661,"C7A0","Cancer"
2662,"C7A00","Cancer"
2663,"C7A01","Cancer"
2664,"C7A010","Cancer"
2665,"C7A011","Cancer"
2666,"C7A012","Cancer"
2667,"C7A019","Cancer"
2668,"C7A02","Cancer"
2669,"C7A020","Cancer"
2670,"C7A021","Cancer"
2671,"C7A022","Cancer"
2672,"C7A023","Cancer"
2673,"C7A024","Cancer"
2674,"C7A025","Cancer"
2675,"C7A026","Cancer"
2676,"C7A029","Cancer"
2677,"C7A09","Cancer"
2678,"C7A090","Cancer"
2679,"C7A091","Cancer"
2680,"C7A092","Cancer"
2681,"C7A093","Cancer"
2682,"C7A094","Cancer"
2683,"C7A095","Cancer"
2684,"C7A096","Cancer"
2685,"C7A098","Cancer"
2686,"C7A1","Cancer"
2687,"C7A8","Cancer"
2688,"C7B","Cancer"
2689,"C7B0","Cancer"
2690,"C7B00","Cancer"
2691,"C7B01","Cancer"
2692,"C7B02","Cancer"
2693,"C7B03","Cancer"
2694,"C7B04","Cancer"
2695,"C7B09","Cancer"
2696,"C7B1","Cancer"
2697,"C7B8","Cancer"
2698,"C81","Cancer"
2699,"C810","Cancer"
2700,"C8100","Cancer"
2701,"C8101","Cancer"
2702,"C8102","Cancer"
2703,"C8103","Cancer"
2704,"C8104","Cancer"
2705,"C8105","Cancer"
2706,"C8106","Cancer"
2707,"C8107","Cancer"
2708,"C8108","Cancer"
2709,"C8109","Cancer"
2710,"C811","Cancer"
2711,"C8110","Cancer"
2712,"C8111","Cancer"
2713,"C8112","Cancer"
2714,"C8113","Cancer"
2715,"C8114","Cancer"
2716,"C8115","Cancer"
2717,"C8116","Cancer"
2718,"C8117","Cancer"
2719,"C8118","Cancer"
2720,"C8119","Cancer"
2721,"C812","Cancer"
2722,"C8120","Cancer"
2723,"C8121","Cancer"
2724,"C8122","Cancer"
2725,"C8123","Cancer"
2726,"C8124","Cancer"
2727,"C8125","Cancer"
2728,"C8126","Cancer"
2729,"C8127","Cancer"
2730,"C8128","Cancer"
2731,"C8129","Cancer"
2732,"C813","Cancer"
2733,"C8130","Cancer"
2734,"C8131","Cancer"
2735,"C8132","Cancer"
2736,"C8133","Cancer"
2737,"C8134","Cancer"
2738,"C8135","Cancer"
2739,"C8136","Cancer"
2740,"C8137","Cancer"
2741,"C8138","Cancer"
2742,"C8139","Cancer"
2743,"C814","Cancer"
2744,"C8140","Cancer"
2745,"C8141","Cancer"
2746,"C8142","Cancer"
2747,"C8143","Cancer"
2748,"C8144","Cancer"
2749,"C8145","Cancer"
2750,"C8146","Cancer"
2751,"C8147","Cancer"
2752,"C8148","Cancer"
2753,"C8149","Cancer"
2754,"C817","Cancer"
2755,"C8170","Cancer"
2756,"C8171","Cancer"
2757,"C8172","Cancer"
2758,"C8173","Cancer"
2759,"C8174","Cancer"
2760,"C8175","Cancer"
2761,"C8176","Cancer"
2762,"C8177","Cancer"
2763,"C8178","Cancer"
2764,"C8179","Cancer"
2765,"C819","Cancer"
2766,"C8190","Cancer"
2767,"C8191","Cancer"
2768,"C8192","Cancer"
2769,"C8193","Cancer"
2770,"C8194","Cancer"
2771,"C8195","Cancer"
2772,"C8196","Cancer"
2773,"C8197","Cancer"
2774,"C8198","Cancer"
2775,"C8199","Cancer"
2776,"C82","Cancer"
2777,"C820","Cancer"
2778,"C8200","Cancer"
2779,"C8201","Cancer"
2780,"C8202","Cancer"
2781,"C8203","Cancer"
2782,"C8204","Cancer"
2783,"C8205","Cancer"
2784,"C8206","Cancer"
2785,"C8207","Cancer"
2786,"C8208","Cancer"
2787,"C8209","Cancer"
2788,"C821","Cancer"
2789,"C8210","Cancer"
2790,"C8211","Cancer"
2791,"C8212","Cancer"
2792,"C8213","Cancer"
2793,"C8214","Cancer"
2794,"C8215","Cancer"
2795,"C8216","Cancer"
2796,"C8217","Cancer"
2797,"C8218","Cancer"
2798,"C8219","Cancer"
2799,"C822","Cancer"
2800,"C8220","Cancer"
2801,"C8221","Cancer"
2802,"C8222","Cancer"
2803,"C8223","Cancer"
2804,"C8224","Cancer"
2805,"C8225","Cancer"
2806,"C8226","Cancer"
2807,"C8227","Cancer"
2808,"C8228","Cancer"
2809,"C8229","Cancer"
2810,"C823","Cancer"
2811,"C8230","Cancer"
2812,"C8231","Cancer"
2813,"C8232","Cancer"
2814,"C8233","Cancer"
2815,"C8234","Cancer"
2816,"C8235","Cancer"
2817,"C8236","Cancer"
2818,"C8237","Cancer"
2819,"C8238","Cancer"
2820,"C8239","Cancer"
2821,"C824","Cancer"
2822,"C8240","Cancer"
2823,"C8241","Cancer"
2824,"C8242","Cancer"
2825,"C8243","Cancer"
2826,"C8244","Cancer"
2827,"C8245","Cancer"
2828,"C8246","Cancer"
2829,"C8247","Cancer"
2830,"C8248","Cancer"
2831,"C8249","Cancer"
2832,"C825","Cancer"
2833,"C8250","Cancer"
2834,"C8251","Cancer"
2835,"C8252","Cancer"
2836,"C8253","Cancer"
2837,"C8254","Cancer"
2838,"C8255","Cancer"
2839,"C8256","Cancer"
2840,"C8257","Cancer"
2841,"C8258","Cancer"
2842,"C8259","Cancer"
2843,"C826","Cancer"
2844,"C8260","Cancer"
2845,"C8261","Cancer"
2846,"C8262","Cancer"
2847,"C8263","Cancer"
2848,"C8264","Cancer"
2849,"C8265","Cancer"
2850,"C8266","Cancer"
2851,"C8267","Cancer"
2852,"C8268","Cancer"
2853,"C8269","Cancer"
2854,"C828","Cancer"
2855,"C8280","Cancer"
2856,"C8281","Cancer"
2857,"C8282","Cancer"
2858,"C8283","Cancer"
2859,"C8284","Cancer"
2860,"C8285","Cancer"
2861,"C8286","Cancer"
2862,"C8287","Cancer"
2863,"C8288","Cancer"
2864,"C8289","Cancer"
2865,"C829","Cancer"
2866,"C8290","Cancer"
2867,"C8291","Cancer"
2868,"C8292","Cancer"
2869,"C8293","Cancer"
2870,"C8294","Cancer"
2871,"C8295","Cancer"
2872,"C8296","Cancer"
2873,"C8297","Cancer"
2874,"C8298","Cancer"
2875,"C8299","Cancer"
2876,"C83","Cancer"
2877,"C830","Cancer"
2878,"C8300","Cancer"
2879,"C8301","Cancer"
2880,"C8302","Cancer"
2881,"C8303","Cancer"
2882,"C8304","Cancer"
2883,"C8305","Cancer"
2884,"C8306","Cancer"
2885,"C8307","Cancer"
2886,"C8308","Cancer"
2887,"C8309","Cancer"
2888,"C831","Cancer"
2889,"C8310","Cancer"
2890,"C8311","Cancer"
2891,"C8312","Cancer"
2892,"C8313","Cancer"
2893,"C8314","Cancer"
2894,"C8315","Cancer"
2895,"C8316","Cancer"
2896,"C8317","Cancer"
2897,"C8318","Cancer"
2898,"C8319","Cancer"
2899,"C833","Cancer"
2900,"C8330","Cancer"
2901,"C8331","Cancer"
2902,"C8332","Cancer"
2903,"C8333","Cancer"
2904,"C8334","Cancer"
2905,"C8335","Cancer"
2906,"C8336","Cancer"
2907,"C8337","Cancer"
2908,"C8338","Cancer"
2909,"C8339","Cancer"
2910,"C835","Cancer"
2911,"C8350","Cancer"
2912,"C8351","Cancer"
2913,"C8352","Cancer"
2914,"C8353","Cancer"
2915,"C8354","Cancer"
2916,"C8355","Cancer"
2917,"C8356","Cancer"
2918,"C8357","Cancer"
2919,"C8358","Cancer"
2920,"C8359","Cancer"
2921,"C837","Cancer"
2922,"C8370","Cancer"
2923,"C8371","Cancer"
2924,"C8372","Cancer"
2925,"C8373","Cancer"
2926,"C8374","Cancer"
2927,"C8375","Cancer"
2928,"C8376","Cancer"
2929,"C8377","Cancer"
2930,"C8378","Cancer"
2931,"C8379","Cancer"
2932,"C838","Cancer"
2933,"C8380","Cancer"
2934,"C8381","Cancer"
2935,"C8382","Cancer"
2936,"C8383","Cancer"
2937,"C8384","Cancer"
2938,"C8385","Cancer"
2939,"C8386","Cancer"
2940,"C8387","Cancer"
2941,"C8388","Cancer"
2942,"C8389","Cancer"
2943,"C839","Cancer"
2944,"C8390","Cancer"
2945,"C8391","Cancer"
2946,"C8392","Cancer"
2947,"C8393","Cancer"
2948,"C8394","Cancer"
2949,"C8395","Cancer"
2950,"C8396","Cancer"
2951,"C8397","Cancer"
2952,"C8398","Cancer"
2953,"C8399","Cancer"
2954,"C84","Cancer"
2955,"C840","Cancer"
2956,"C8400","Cancer"
2957,"C8401","Cancer"
2958,"C8402","Cancer"
2959,"C8403","Cancer"
2960,"C8404","Cancer"
2961,"C8405","Cancer"
2962,"C8406","Cancer"
2963,"C8407","Cancer"
2964,"C8408","Cancer"
2965,"C8409","Cancer"
2966,"C841","Cancer"
2967,"C8410","Cancer"
2968,"C8411","Cancer"
2969,"C8412","Cancer"
2970,"C8413","Cancer"
2971,"C8414","Cancer"
2972,"C8415","Cancer"
2973,"C8416","Cancer"
2974,"C8417","Cancer"
2975,"C8418","Cancer"
2976,"C8419","Cancer"
2977,"C844","Cancer"
2978,"C8440","Cancer"
2979,"C8441","Cancer"
2980,"C8442","Cancer"
2981,"C8443","Cancer"
2982,"C8444","Cancer"
2983,"C8445","Cancer"
2984,"C8446","Cancer"
2985,"C8447","Cancer"
2986,"C8448","Cancer"
2987,"C8449","Cancer"
2988,"C846","Cancer"
2989,"C8460","Cancer"
2990,"C8461","Cancer"
2991,"C8462","Cancer"
2992,"C8463","Cancer"
2993,"C8464","Cancer"
2994,"C8465","Cancer"
2995,"C8466","Cancer"
2996,"C8467","Cancer"
2997,"C8468","Cancer"
2998,"C8469","Cancer"
2999,"C847","Cancer"
3000,"C8470","Cancer"
3001,"C8471","Cancer"
3002,"C8472","Cancer"
3003,"C8473","Cancer"
3004,"C8474","Cancer"
3005,"C8475","Cancer"
3006,"C8476","Cancer"
3007,"C8477","Cancer"
3008,"C8478","Cancer"
3009,"C8479","Cancer"
3010,"C849","Cancer"
3011,"C8490","Cancer"
3012,"C8491","Cancer"
3013,"C8492","Cancer"
3014,"C8493","Cancer"
3015,"C8494","Cancer"
