"ICD10","ICD10Descr"
"C7642","Malignant neoplasm of left upper limb"
"C8292","Follicular lymphoma, unspecified, intrathoracic lymph nodes"
"C8479","Anaplstc lg cell lymph, ALK-neg, extrnod and solid org sites"
"C50519","Malig neoplasm of lower-outer quadrant of unsp female breast"
"C7220","Malignant neoplasm of unspecified olfactory nerve"
"C50111","Malignant neoplasm of central portion of right female breast"
"C542","Malignant neoplasm of myometrium"
"C63","Malignant neoplasm of other and unsp male genital organs"
"C652","Malignant neoplasm of left renal pelvis"
"C8261","Cutan folicl center lymphoma, nodes of head, face, and neck"
"C4000","Malig neoplasm of scapula and long bones of unsp upper limb"
"C8256","Diffuse follicle center lymphoma, intrapelvic lymph nodes"
"C8127","Mixed cellularity classical Hodgkin lymphoma, spleen"
"C679","Malignant neoplasm of bladder, unspecified"
"C8582","Oth types of non-Hodgkin lymphoma, intrathoracic lymph nodes"
"C7650","Malignant neoplasm of unspecified lower limb"
"C55","Malignant neoplasm of uterus, part unspecified"
"C639","Malignant neoplasm of male genital organ, unspecified"
"C221","Intrahepatic bile duct carcinoma"
"C9150","Adult T-cell lymph/leuk (HTLV-1-assoc) not achieve remission"
"C50","Malignant neoplasm of breast"
"C4911","Malig neoplm of conn and soft tiss of r upr limb, inc shldr"
"C089","Malignant neoplasm of major salivary gland, unspecified"
"C154","Malignant neoplasm of middle third of esophagus"
"C96","Oth & unsp malig neoplm of lymphoid, hematpoetc and rel tiss"
"C8229","Foliclar lymph grade III, unsp, extrnod and solid org sites"
"C050","Malignant neoplasm of hard palate"
"C91","Lymphoid leukemia"
"C8591","Non-Hodgkin lymphoma, unsp, nodes of head, face, and neck"
"C673","Malignant neoplasm of anterior wall of bladder"
"C000","Malignant neoplasm of external upper lip"
"C8387","Other non-follicular lymphoma, spleen"
"C8106","Nodular lymphocyte predom Hodgkin lymphoma, intrapelv nodes"
"C8130","Lymphocyte depleted classical Hodgkin lymphoma, unsp site"
"C462","Kaposi's sarcoma of palate"
"C8388","Other non-follicular lymphoma, lymph nodes of multiple sites"
"C9211","Chronic myeloid leukemia, BCR/ABL-positive, in remission"
"C7231","Malignant neoplasm of right optic nerve"
"C5031","Malignant neoplasm of lower-inner quadrant of breast, female"
"C9190","Lymphoid leukemia, unspecified not having achieved remission"
"C84A7","Cutaneous T-cell lymphoma, unspecified, spleen"
"C821","Follicular lymphoma grade II"
"C50422","Malig neoplasm of upper-outer quadrant of left male breast"
"C381","Malignant neoplasm of anterior mediastinum"
"C5061","Malignant neoplasm of axillary tail of breast, female"
"C8131","Lymphocy deplet class Hdgkn lymph, nodes of head, face, & nk"
"C6312","Malignant neoplasm of left spermatic cord"
"C8334","Diffuse large B-cell lymph, nodes of axilla and upper limb"
"C8333","Diffuse large B-cell lymphoma, intra-abdominal lymph nodes"
"C764","Malignant neoplasm of upper limb"
"C248","Malignant neoplasm of overlapping sites of biliary tract"
"C9301","Acute monoblastic/monocytic leukemia, in remission"
"C8137","Lymphocyte depleted classical Hodgkin lymphoma, spleen"
"C008","Malignant neoplasm of overlapping sites of lip"
"C8252","Diffuse follicle center lymphoma, intrathoracic lymph nodes"
"C8596","Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes"
"C8586","Oth types of non-Hodgkin lymphoma, intrapelvic lymph nodes"
"C6962","Malignant neoplasm of left orbit"
"C132","Malignant neoplasm of posterior wall of hypopharynx"
"C002","Malignant neoplasm of external lip, unspecified"
"C108","Malignant neoplasm of overlapping sites of oropharynx"
"C139","Malignant neoplasm of hypopharynx, unspecified"
"C04","Malignant neoplasm of floor of mouth"
"C8378","Burkitt lymphoma, lymph nodes of multiple sites"
"C8144","Lymp-rich class Hdgkn lymph, nodes of axilla and upper limb"
"C6992","Malignant neoplasm of unspecified site of left eye"
"C88","Malig immunoproliferative dis and certain oth B-cell lymph"
"C472","Malignant neoplasm of prph nerves of lower limb, inc hip"
"C457","Mesothelioma of other sites"
"C258","Malignant neoplasm of overlapping sites of pancreas"
"C91A","Mature B-cell leukemia Burkitt-type"
"C473","Malignant neoplasm of peripheral nerves of thorax"
"C4310","Malignant melanoma of unspecified eyelid, including canthus"
"C753","Malignant neoplasm of pineal gland"
"C50829","Malignant neoplasm of overlapping sites of unsp male breast"
"C8108","Nodular lymphocyte predom Hodgkin lymphoma, nodes mult site"
"C919","Lymphoid leukemia, unspecified"
"C5001","Malignant neoplasm of nipple and areola, female"
"C3432","Malignant neoplasm of lower lobe, left bronchus or lung"
"C8226","Follicular lymphoma grade III, unsp, intrapelvic lymph nodes"
"C0680","Malignant neoplasm of ovrlp sites of unsp parts of mouth"
"C8527","Mediastinal (thymic) large B-cell lymphoma, spleen"
"C020","Malignant neoplasm of dorsal surface of tongue"
"C169","Malignant neoplasm of stomach, unspecified"
"C8250","Diffuse follicle center lymphoma, unspecified site"
"C8386","Other non-follicular lymphoma, intrapelvic lymph nodes"
"C50429","Malig neoplasm of upper-outer quadrant of unsp male breast"
"C8176","Other classical Hodgkin lymphoma, intrapelvic lymph nodes"
"C915","Adult T-cell lymphoma/leukemia (HTLV-1-associated)"
"C50121","Malignant neoplasm of central portion of right male breast"
"C4311","Malignant melanoma of right eyelid, including canthus"
"C602","Malignant neoplasm of body of penis"
"C40","Malignant neoplasm of bone and articular cartilage of limbs"
"C7410","Malignant neoplasm of medulla of unspecified adrenal gland"
"C240","Malignant neoplasm of extrahepatic bile duct"
"C91A1","Mature B-cell leukemia Burkitt-type, in remission"
"C8416","Sezary disease, intrapelvic lymph nodes"
"C8593","Non-Hodgkin lymphoma, unsp, intra-abdominal lymph nodes"
"C5701","Malignant neoplasm of right fallopian tube"
"C681","Malignant neoplasm of paraurethral glands"
"C84Z","Other mature T/NK-cell lymphomas"
"C39","Malig neoplm of sites in the resp sys and intrathorac organs"
"C4031","Malignant neoplasm of short bones of right lower limb"
"C755","Malignant neoplasm of aortic body and other paraganglia"
"C496","Malignant neoplasm of conn and soft tissue of trunk, unsp"
"C33","Malignant neoplasm of trachea"
"C4091","Malig neoplasm of unsp bones and artic cartlg of right limb"
"C8283","Oth types of follicular lymphoma, intra-abd lymph nodes"
"C884","Extrnod mrgnl zn B-cell lymph of mucosa-assoc lymphoid tiss"
"C84A","Cutaneous T-cell lymphoma, unspecified"
"C119","Malignant neoplasm of nasopharynx, unspecified"
"C8259","Diffuse folicl center lymph, extrnod and solid organ sites"
"C322","Malignant neoplasm of subglottis"
"C754","Malignant neoplasm of carotid body"
"C4081","Malig neoplm of ovrlp sites of bone/artic cartl of r limb"
"C6930","Malignant neoplasm of unspecified choroid"
"C059","Malignant neoplasm of palate, unspecified"
"C6982","Malignant neoplasm of ovrlp sites of left eye and adnexa"
"C8414","Sezary disease, lymph nodes of axilla and upper limb"
"C253","Malignant neoplasm of pancreatic duct"
"C8519","Unsp B-cell lymphoma, extranodal and solid organ sites"
"C261","Malignant neoplasm of spleen"
"C50122","Malignant neoplasm of central portion of left male breast"
"C6941","Malignant neoplasm of right ciliary body"
"C402","Malignant neoplasm of long bones of lower limb"
"C8493","Mature T/NK-cell lymphomas, unsp, intra-abd lymph nodes"
"C5710","Malignant neoplasm of unspecified broad ligament"
"C826","Cutaneous follicle center lymphoma"
"C300","Malignant neoplasm of nasal cavity"
"C4330","Malignant melanoma of unspecified part of face"
"C8219","Follicular lymphoma grade II, extrnod and solid organ sites"
"C97",
"C911","Chronic lymphocytic leukemia of B-cell type"
"C838","Other non-follicular lymphoma"
"C6981","Malignant neoplasm of ovrlp sites of right eye and adnexa"
"C9250","Acute myelomonocytic leukemia, not having achieved remission"
"C91Z","Other lymphoid leukemia"
"C752","Malignant neoplasm of craniopharyngeal duct"
"C3480","Malignant neoplasm of ovrlp sites of unsp bronchus and lung"
"C432","Malignant melanoma of ear and external auricular canal"
"C84Z7","Other mature T/NK-cell lymphomas, spleen"
"C93Z2","Other monocytic leukemia, in relapse"
"C3410","Malignant neoplasm of upper lobe, unsp bronchus or lung"
"C56","Malignant neoplasm of ovary"
"C669","Malignant neoplasm of unspecified ureter"
"C9232","Myeloid sarcoma, in relapse"
"C474","Malignant neoplasm of peripheral nerves of abdomen"
"C7230","Malignant neoplasm of unspecified optic nerve"
"C846","Anaplastic large cell lymphoma, ALK-positive"
"C178","Malignant neoplasm of overlapping sites of small intestine"
"C61","Malignant neoplasm of prostate"
"C8257","Diffuse follicle center lymphoma, spleen"
"C8495","Mature T/NK-cell lymph, unsp, nodes of ing rgn and low limb"
"C4921","Malig neoplm of conn and soft tiss of r low limb, inc hip"
"C8201","Follicular lymphoma grade I, nodes of head, face, and neck"
"C8291","Follicular lymphoma, unsp, nodes of head, face, and neck"
"C480","Malignant neoplasm of retroperitoneum"
"C8146","Lymp-rich classical Hodgkin lymphoma, intrapelv lymph nodes"
"C30","Malignant neoplasm of nasal cavity and middle ear"
"C8406","Mycosis fungoides, intrapelvic lymph nodes"
"C9152","Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in relapse"
"C8396","Non-follic (diffuse) lymphoma, unsp, intrapelvic lymph nodes"
"C8466","Anaplastic large cell lymphoma, ALK-pos, intrapelv nodes"
"C4010","Malignant neoplasm of short bones of unspecified upper limb"
"C024","Malignant neoplasm of lingual tonsil"
"C8390","Non-follicular (diffuse) lymphoma, unsp, unspecified site"
"C675","Malignant neoplasm of bladder neck"
"C8472","Anaplastic large cell lymphoma, ALK-neg, intrathorac nodes"
"C158","Malignant neoplasm of overlapping sites of esophagus"
"C8338","Diffuse large B-cell lymphoma, lymph nodes of multiple sites"
"C642","Malignant neoplasm of left kidney, except renal pelvis"
"C9130","Prolymphocytic leukemia of B-cell type not achieve remission"
"C24","Malignant neoplasm of other and unsp parts of biliary tract"
"C678","Malignant neoplasm of overlapping sites of bladder"
"C810","Nodular lymphocyte predominant Hodgkin lymphoma"
"C719","Malignant neoplasm of brain, unspecified"
"C8114","Nodlr scler class Hdgkn lymph, nodes of axla and upper limb"
"C4320","Malignant melanoma of unsp ear and external auricular canal"
"C930","Acute monoblastic/monocytic leukemia"
"C8313","Mantle cell lymphoma, intra-abdominal lymph nodes"
"C518","Malignant neoplasm of overlapping sites of vulva"
"C8588","Oth types of non-Hodgkin lymphoma, lymph nodes mult site"
"C6942","Malignant neoplasm of left ciliary body"
"C8409","Mycosis fungoides, extranodal and solid organ sites"
"C8443","Peripheral T-cell lymphoma, not classified, intra-abd nodes"
"C8107","Nodular lymphocyte predominant Hodgkin lymphoma, spleen"
"C9111","Chronic lymphocytic leukemia of B-cell type in remission"
"C3411","Malignant neoplasm of upper lobe, right bronchus or lung"
"C228","Malignant neoplasm of liver, primary, unspecified as to type"
"C880","Waldenstrom macroglobulinemia"
"C118","Malignant neoplasm of overlapping sites of nasopharynx"
"C009","Malignant neoplasm of lip, unspecified"
"C8281","Oth types of foliclar lymph, nodes of head, face, and neck"
"C3412","Malignant neoplasm of upper lobe, left bronchus or lung"
"C700","Malignant neoplasm of cerebral meninges"
"C187","Malignant neoplasm of sigmoid colon"
"C943","Mast cell leukemia"
"C153","Malignant neoplasm of upper third of esophagus"
"C8523","Mediastinal (thymic) large B-cell lymphoma, intra-abd nodes"
"C03","Malignant neoplasm of gum"
"C52","Malignant neoplasm of vagina"
"C8237","Follicular lymphoma grade IIIa, spleen"
"C4321","Malignant melanoma of right ear and external auricular canal"
"C8213","Follicular lymphoma grade II, intra-abdominal lymph nodes"
"C540","Malignant neoplasm of isthmus uteri"
"C9392","Monocytic leukemia, unspecified in relapse"
"C7401","Malignant neoplasm of cortex of right adrenal gland"
"C130","Malignant neoplasm of postcricoid region"
"C8110","Nodular sclerosis classical Hodgkin lymphoma, unsp site"
"C913","Prolymphocytic leukemia of B-cell type"
"C9311","Chronic myelomonocytic leukemia, in remission"
"C6910","Malignant neoplasm of unspecified cornea"
"C18","Malignant neoplasm of colon"
"C9011","Plasma cell leukemia in remission"
"C503","Malignant neoplasm of lower-inner quadrant of breast"
"C9242","Acute promyelocytic leukemia, in relapse"
"C470","Malignant neoplasm of prph nerves of head, face and neck"
"C8477","Anaplastic large cell lymphoma, ALK-negative, spleen"
"C962","Malignant mast cell tumor"
"C49","Malignant neoplasm of other connective and soft tissue"
"C17","Malignant neoplasm of small intestine"
"C506","Malignant neoplasm of axillary tail of breast"
"C9500","Acute leukemia of unsp cell type not achieve remission"
"C8304","Small cell B-cell lymphoma, nodes of axilla and upper limb"
"C8446","Peripheral T-cell lymphoma, not classified, intrapelv nodes"
"C50511","Malig neoplm of lower-outer quadrant of right female breast"
"C041","Malignant neoplasm of lateral floor of mouth"
"C8412","Sezary disease, intrathoracic lymph nodes"
"C16","Malignant neoplasm of stomach"
"C8299","Follicular lymphoma, unsp, extranodal and solid organ sites"
"C574","Malignant neoplasm of uterine adnexa, unspecified"
"C762","Malignant neoplasm of abdomen"
"C8206","Follicular lymphoma grade I, intrapelvic lymph nodes"
"C8516","Unspecified B-cell lymphoma, intrapelvic lymph nodes"
"C8282","Oth types of follicular lymphoma, intrathoracic lymph nodes"
"C436","Malignant melanoma of upper limb, including shoulder"
"C920","Acute myeloblastic leukemia"
"C50019","Malignant neoplasm of nipple and areola, unsp female breast"
"C8234","Foliclar lymphoma grade IIIa, nodes of axilla and upper limb"
"C3490","Malignant neoplasm of unsp part of unsp bronchus or lung"
"C080","Malignant neoplasm of submandibular gland"
"C6980","Malignant neoplasm of ovrlp sites of unsp eye and adnexa"
"C621","Malignant neoplasm of descended testis"
"C8473","Anaplastic large cell lymphoma, ALK-neg, intra-abd nodes"
"C840","Mycosis fungoides"
"C82","Follicular lymphoma"
"C837","Burkitt lymphoma"
"C8332","Diffuse large B-cell lymphoma, intrathoracic lymph nodes"
"C8491","Mature T/NK-cell lymph, unsp, nodes of head, face, and neck"
"C499","Malignant neoplasm of connective and soft tissue, unsp"
"C50512","Malig neoplasm of lower-outer quadrant of left female breast"
"C5091","Malignant neoplasm of breast of unspecified site, female"
"C478","Malig neoplm of ovrlp sites of prph nrv and autonm nrv sys"
"C8117","Nodular sclerosis classical Hodgkin lymphoma, spleen"
"C4722","Malig neoplasm of prph nerves of left lower limb, inc hip"
"C740","Malignant neoplasm of cortex of adrenal gland"
"C901","Plasma cell leukemia"
"C069","Malignant neoplasm of mouth, unspecified"
"C717","Malignant neoplasm of brain stem"
"C5052","Malignant neoplasm of lower-outer quadrant of breast, male"
"C148","Malig neoplm of ovrlp sites of lip, oral cavity and pharynx"
"C319","Malignant neoplasm of accessory sinus, unspecified"
"C5720","Malignant neoplasm of unspecified round ligament"
"C8478","Anaplastic large cell lymphoma, ALK-neg, nodes mult site"
"C8102","Nodular lymphocy predom Hodgkin lymphoma, intrathorac nodes"
"C8115","Nodlr scler class Hdgkn lymph, nodes of ing rgn and low limb"
"C313","Malignant neoplasm of sphenoid sinus"
"C9262","Acute myeloid leukemia with 11q23-abnormality in relapse"
"C8319","Mantle cell lymphoma, extranodal and solid organ sites"
"C7641","Malignant neoplasm of right upper limb"
"C9430","Mast cell leukemia not having achieved remission"
"C9510","Chronic leukemia of unsp cell type not achieve remission"
"C638","Malignant neoplasm of ovrlp sites of male genital organs"
"C651","Malignant neoplasm of right renal pelvis"
"C9481","Other specified leukemias, in remission"
"C8311","Mantle cell lymphoma, lymph nodes of head, face, and neck"
"C50229","Malig neoplasm of upper-inner quadrant of unsp male breast"
"C08","Malignant neoplasm of other and unsp major salivary glands"
"C572","Malignant neoplasm of round ligament"
"C8317","Mantle cell lymphoma, spleen"
"C9400","Acute erythroid leukemia, not having achieved remission"
"C8118","Nodular sclerosis class Hodgkin lymphoma, nodes mult site"
"C720","Malignant neoplasm of spinal cord"
"C70","Malignant neoplasm of meninges"
"C450","Mesothelioma of pleura"
"C5082","Malignant neoplasm of overlapping sites of breast, male"
"C8350","Lymphoblastic (diffuse) lymphoma, unspecified site"
"C9442","Acute panmyelosis with myelofibrosis, in relapse"
"C8100","Nodular lymphocyte predominant Hodgkin lymphoma, unsp site"
"C8510","Unspecified B-cell lymphoma, unspecified site"
